Date,kpi,ppi,unemployment,oil_price_nok,usd_nok,import_val,eksport_val,styringsrente,eur_nok,boligpris_idx,toll_rate_avg
2005-04-01,82.1,54.545454545454554,4.6,323.08294200000006,6.3238,28611995157.2,56905308737.200005,1.75,8.1763,1.504,23.183061437001076
2005-05-01,82.4,53.03030303030304,4.6,320.806374,6.3238,29385117896.4,53395702434.2,1.75,8.0773,1.7433333333333334,23.183061437001076
2005-06-01,82.4,56.19834710743802,4.6,359.85271,6.4745,29243633130,51000594726,1.75,7.8932,1.9826666666666666,23.183061437001076
2005-07-01,82.2,58.81542699724519,4.7,387.104274,6.5202,33560154021,57933815696.4,2,7.92,2.222,23.183061437001076
2005-08-01,82.3,61.84573002754821,4.6,430.978812,6.4306,29614211981.2,59261162147,2,7.9165,2.4476666666666667,23.183061437001076
2005-09-01,82.9,60.88154269972452,4.5,401.974404,6.3323,28878365497.8,58320242372.6,2,7.8087,2.6733333333333333,23.183061437001076
2005-10-01,83,59.504132231404974,4.5,367.90663,6.3323,31420774778.5,62022703081.7,2,7.8347,2.899,23.183061437001076
2005-11-01,83,57.988980716253444,4.4,356.78455499999995,6.4811,29919453737.6,53820182111.399994,2.23,7.8295,3.0476666666666667,23.183061437001076
2005-12-01,82.9,58.95316804407713,4.3,400.332648,6.7876,32039840872.4,62649982406.4,2.25,7.9737,3.1963333333333335,23.183061437001076
2006-01-01,82.7,62.12121212121213,4.2,447.913724,6.7876,32630555728.7,69921686305,2.25,8.0366,3.345,23.170394736842034
2006-02-01,83.4,61.84573002754821,4.2,411.58716799999996,6.6643,31289275029.399998,62296890083.6,2.25,8.0593,3.365666666666667,23.170394736842034
2006-03-01,83.6,62.53443526170799,3.9,442.69110599999993,6.7166,32566570205.399998,65572923229,2.37,7.9775,3.3863333333333334,23.170394736842034
2006-04-01,84.3,65.70247933884299,3.9,486.95349999999996,6.7166,33392495899.999996,68887508125,2.5,7.8414,3.407,23.170394736842034
2006-05-01,84.3,63.498622589531685,3.8,472.915806,6.7166,33818680460.6,63880221992.99999,2.5,7.7968,3.864,23.170394736842034
2006-06-01,84.2,63.498622589531685,3.8,449.249014,6.1114,34324916444.6,66387954858,2.75,7.8604,4.321,23.170394736842034
2006-07-01,83.9,66.66666666666667,3.4,459.27171000000004,6.1114,33370241133.6,67664994192,2.75,7.9386,4.778,23.170394736842034
2006-08-01,83.9,67.07988980716254,3.6,433.56192500000003,6.1717,34707585623.9,66848891984.00001,2.87,7.992,4.495666666666667,23.170394736842034
2006-09-01,85.1,63.774104683195596,3.3,395.198496,6.3252,33433021087.199997,61693945110,3,8.2572,4.213333333333333,23.170394736842034
2006-10-01,85.2,62.947658402203864,2.8,373.376556,6.3252,36192885831.1,63131495944,3,8.396,3.931,23.170394736842034
2006-11-01,85.1,61.98347107438017,3.1,418.114116,6.5066,38464169309.2,65285597750,3.24,8.2446,3.780666666666667,23.170394736842034
2006-12-01,84.7,61.84573002754821,3,375.092352,6.1632,36877605811.2,63259392960,3.38,8.1575,3.630333333333333,23.170394736842034
2007-01-01,83.7,59.228650137741056,3,353.76768,6.1632,38467363776,62991984550,3.56,8.278,3.48,23.172598684210644
2007-02-01,84,60.05509641873279,2.8,386.243112,6.2408,36540146113.6,61753558508,3.75,8.0876,3.099666666666667,23.168829139944055
2007-03-01,84.5,61.15702479338844,2.8,417.56195999999994,6.1316,37786763713.2,62995322608,3.88,8.134,2.719333333333333,23.168829139944055
2007-04-01,84.5,62.25895316804409,2.7,414.80274000000003,6.1316,41214127594.5,67163973471,4,8.1192,2.339,23.168829139944055
2007-05-01,84.6,62.53443526170799,2.6,417.194064,6.1316,38763642880.8,63852313360,4.01,8.14,1.988,23.168829139944055
2007-06-01,84.5,63.774104683195596,2.5,431.087888,6.0368,38753569624,67379441360.00001,4.27,8.059,1.637,23.168829139944055
2007-07-01,84.3,64.04958677685951,2.9,465.13544,6.0368,40265296766.4,64319018850.00001,4.5,7.938,1.286,23.168829139944055
2007-08-01,84.2,62.25895316804409,2.7,425.243769,5.8501,38495992189.9,65770100256,4.63,7.9735,0.9513333333333334,23.053092277486897
2007-09-01,84.8,63.774104683195596,2.4,463.152417,5.8501,39508111693.6,71756649728,4.78,7.8306,0.6166666666666667,23.049378373957
